Time,Operation,Input_A,Input_B,Expected_Result,Actual_Result,Pass_Fail
               10000,MUL,     20037,      9135, 183037995, 183037995,PASS
               20000,MUL,     25371,      8185, 207661635, 207661635,PASS
               30000,ADD,  93855547, 117361140, 211216687, 211216687,PASS
               40000,ADD, 482658130, 240425496, 723083626, 723083626,PASS
               50000,MUL,      9696,     12332, 119571072, 119571072,PASS
               60000,MUL,     27647,     17869, 494024243, 494024243,PASS
               70000,MUL,     28529,       904,  25790216,  25790216,PASS
               80000,ADD, 114729960, 637579714, 752309674, 752309674,PASS
               90000,MUL,     29427,     13050, 384022350, 384022350,PASS
              100000,ADD, 857716909, 360386680,1218103589,1218103589,PASS
              110000,MUL,     14699,     28225, 414879275, 414879275,PASS
              120000,ADD, 226851132, 134830303, 361681435, 361681435,PASS
              130000,MUL,     16558,     10178, 168527324, 168527324,PASS
              140000,ADD, 535577777, 388788341, 924366118, 924366118,PASS
              150000,MUL,     27495,     13203, 363016485, 363016485,PASS
              160000,ADD, 153891582, 696639140, 850530722, 850530722,PASS
              170000,MUL,     25337,      5916, 149893692, 149893692,PASS
              180000,MUL,     12623,     16305, 205818015, 205818015,PASS
              190000,MUL,      9759,     25971, 253450989, 253450989,PASS
              200000,MUL,     13844,      5220,  72265680,  72265680,PASS
