Test, x1, x2, x3, x4, Expected_X, Output_X, Verdict
1, 0, 0,0,0,0,0,PASS
2, 1, 1,1,1,1,1,PASS
3, 255, 255,0,255,255,255,PASS
4, 0, 256,1,256,256,256,PASS
5, 254, 510,0,510,510,510,PASS
6, 255, 511,1,0,511,511,PASS
7, 254, 766,1,255,766,766,PASS
8, 255, 0,2,256,767,767,PASS
9, 255, 463,0,31,4294967295,4294967295,PASS
10, 254, 462,254,30,4294967294,4294967294,PASS
11, 21, 469,69,211,123456789,123456789,PASS
12, 177, 693,51,164,987654321,987654321,PASS
13, 77, 537,48,423,3141592653,3141592653,PASS
14, 100, 80,188,465,2718281828,2718281828,PASS
15, 186, 554,137,111,1414213562,1414213562,PASS
16, 68, 701,83,11,1618033988,1618033988,PASS
17, 255, 340,0,127,65535,65535,PASS
18, 0, 341,1,128,65536,65536,PASS
19, 255, 86,15,3,1048575,1048575,PASS
20, 0, 87,16,4,1048576,1048576,PASS
21, 255, 624,0,63,16777215,16777215,PASS
22, 0, 625,1,64,16777216,16777216,PASS
23, 255, 231,127,15,2147483647,2147483647,PASS
24, 0, 232,128,16,2147483648,2147483648,PASS
25, 199, 396,121,376,1111111111,1111111111,PASS
26, 142, 25,242,241,2222222222,2222222222,PASS
27, 85, 421,108,106,3333333333,3333333333,PASS
28, 28, 158,99,150,444444444,444444444,PASS
29, 227, 581,60,443,555555555,555555555,PASS
30, 170, 237,21,225,666666666,666666666,PASS
31, 113, 660,237,7,777777777,777777777,PASS
32, 56, 316,198,300,888888888,888888888,PASS
33, 255, 739,159,82,999999999,999999999,PASS
34, 57, 73,105,81,12345,12345,PASS
35, 50, 394,60,438,67890,67890,PASS
36, 72, 268,210,434,1357924680,1357924680,PASS
37, 11, 96,159,87,2468013579,2468013579,PASS
38, 114, 675,252,25,975318642,975318642,PASS
39, 89, 173,218,421,864209753,864209753,PASS
40, 0, 740,160,83,1000000000,1000000000,PASS
41, 0, 713,65,166,2000000000,2000000000,PASS
42, 0, 686,225,249,3000000000,3000000000,PASS
43, 0, 659,130,332,4000000000,4000000000,PASS
44, 0, 40,60,42,4200000000,4200000000,PASS
45, 128, 260,105,167,4290000000,4290000000,PASS
46, 10, 10,10,10,10,10,PASS
47, 100, 100,100,100,100,100,PASS
48, 232, 233,235,489,1000,1000,PASS
49, 16, 29,55,291,10000,10000,PASS
50, 160, 290,40,355,100000,100000,PASS
